Sale ID,Date,Product ID,Customer ID,Store ID,Sales Price (NPR),Quantity
S001,1/5/2024,IP14P-256-BLK,C1001,ST001,165000,1
S002,1/7/2024,IP13-128-RED,C1002,ST002,110000,1
S003,1/10/2024,IP14-256-WHT,C1003,ST003,140000,2
S004,1/15/2024,IPSE3-64-BLK,C1004,ST001,65000,1
S005,1/20/2024,IP14P-512-GLD,C1005,ST004,195000,1
S006,1/25/2024,IP13M-128-BLU,C1006,ST002,95000,1
S007,1/30/2024,IP14PM-1TB-PRP,C1007,ST001,250000,1
S008,2/3/2024,IP14-128-RED,C1008,ST003,130000,1
S009,2/8/2024,IP13P-256-GRN,C1009,ST004,155000,1
S010,2/12/2024,IPSE3-128-WHT,C1010,ST002,155000,2
